,Category,    Threat Event ,    Vulnerability ,    Asset ,    Consequence
0,General,  Attacker exploits outdated SSL protocol,    Outdated SSL,    Financial transaction website,    Exposes sensitive credit card information.
1,General,  Malware infects unpatched endpoint,    Unpatched device,    Corporate network,    Compromises internal communications.
2,General,  Insider deletes critical data,    Lack of access control,    Database server,    Results in permanent data loss.
3,General,  Phishing email targets CEO,    No email filtering,    Corporate email system,    Leads to unauthorized wire transfer.
4,General,  Ransomware attack encrypts data,    Weak firewall rules,    Employee workstation,    Halts business operations.
5,General,  Attacker executes SQL injection,    Unpatched SQL server,    E-commerce website,    Downloads customer credit card information.
6,General,  Hacker exploits zero-day vulnerability,    Lack of patch management,    Cloud-based application,    Gains administrative access to the system.
7,General,  Insider downloads sensitive client information,    Insufficient data encryption,    HR database,    Breach of client confidentiality.
8,General,  Attacker gains access to SCADA system,    Default credentials,    Power grid control system,    Causes widespread blackout.
9,General,  Malicious insider executes unauthorized transactions,    No segregation of duties,    Payment processing system,    Financial losses for the company.
10,General,  Spear-phishing email leads to malware installation,    Lack of employee training,    User's workstation,    Data exfiltration to a remote server.
11,General,  Attacker brute forces VPN access,    Weak password policy,    VPN server,    Gains entry to the corporate network.
12,General,  Unencrypted laptop is stolen,    No device encryption,    Employee laptop,    Exposes sensitive corporate documents.
13,General,  Attacker exploits missing patches on server,    No patch management process,    Corporate web server,    Compromises customer data.
14,General,  Malicious code injected via XSS,    Lack of input validation,    Web application,    Executes unauthorized actions on behalf of users.
15,General,  Employee shares sensitive files via unsecured file-sharing service,    No DLP (Data Loss Prevention),    Corporate file storage,    Confidential files exposed to unauthorized parties.
16,General,  Attacker compromises cloud credentials,    Weak MFA implementation,    Cloud infrastructure,    Full control of corporate data.
17,General,  Insider manipulates database records,    No database integrity checks,    Finance system,    Creates fraudulent financial reports.
18,General,  Attacker performs DNS poisoning,    Misconfigured DNS settings,    Corporate website,    Redirects users to a malicious site.
19,General,  External actor triggers buffer overflow,    Lack of code review,    IoT device,    Executes arbitrary code and takes control of the device.
20,General,  Unauthorized person accesses unmonitored backup,    Lack of access control,    Backup storage,    Steals confidential client data.
21,General,  Attacker gains access through open RDP port,    Open RDP access,    Employee workstation,    Compromises sensitive files.
22,General,  Insider deletes audit logs,    No log integrity checks,    Security monitoring system,    Hides evidence of unauthorized actions.
23,General,  Malware installed via USB drive,    Lack of endpoint protection,    SCADA system,    Disrupts manufacturing operations.
24,General,  Attacker installs keylogger,    No endpoint protection,    Finance department system,    Captures sensitive login credentials.
25,General,  Insider installs unauthorized software,    Lack of software restrictions,    Employee workstation,    Introduces vulnerabilities to the network.
26,General,  External attacker exploits open port,    No firewall restrictions,    Web server,    Gains unauthorized access to sensitive data.
27,General,  Attacker hijacks session,    Lack of session encryption,    Online banking platform,    Executes unauthorized transactions.
28,General,  Unauthorized employee accesses sensitive HR records,    No role-based access control,    HR database,    Breach of employee confidentiality.
29,General,  Attacker sends malware via email,    No email security gateway,    Corporate email system,    Malware infects internal network.
30,General,  Insider changes permissions on sensitive files,    Lack of auditing,    File server,    Unauthorized access to sensitive documents.
31,General,  Attacker gains access via weak Wi-Fi password,    Weak wireless security,    Corporate Wi-Fi network,    Gains unauthorized network access.
32,General,  Phishing attack targets CFO,    Lack of phishing awareness,    Finance email system,    Leads to unauthorized transfer of funds.
33,General,  External attacker uses stolen credentials,    Compromised user account,    Corporate VPN,    Gains unauthorized access to the internal network.
34,General,  Attacker installs ransomware,    No endpoint detection,    Employee workstation,    Encrypts files and demands ransom.
35,General,  Insider accesses restricted areas,    No physical security controls,    Data center,    Steals sensitive hardware.
36,General,  External actor performs DoS attack,    Lack of network redundancy,    Corporate website,    Causes website downtime.
37,General,  Insider alters configuration files,    No change management,    Web server,    Disrupts business operations.
38,General,  Attacker exploits XSS vulnerability,    No web application firewall,    Online portal,    Executes malicious scripts on users' browsers.
39,General,  Unauthorized use of external storage devices,    No USB restrictions,    Corporate network,    Introduces malware into the network.
40,General,  Attacker gains access to IoT device,    Default credentials,    Smart thermostat,    Controls building temperature.
41,General,  Insider downloads customer database,    Lack of monitoring,    CRM system,    Sells customer data to third parties.
42,General,  Attacker hijacks cloud session,    Insecure session tokens,    Cloud infrastructure,    Gains unauthorized access to sensitive data.
43,General,  Employee downloads unapproved software,    No application whitelisting,    Corporate workstation,    Introduces vulnerabilities into the system.
44,General,  Attacker performs man-in-the-middle attack,    No encryption,    Corporate email communication,    Intercepts sensitive information.
45,General,  Insider manipulates financial data,    No database encryption,    Finance system,    Creates fraudulent transactions.
46,General,  Attacker exploits unpatched software,    Lack of patching,    Corporate web application,    Gains control of the system.
47,General,  Unauthorized employee accesses restricted documents,    No access controls,    File storage system,    Sensitive information is disclosed.
48,General,  Attacker executes SQL injection,    No input validation,    E-commerce website,    Extracts customer information.
49,General,  Insider shares confidential client data,    Lack of encryption,    Client database,    Breach of confidentiality agreement.
50,General,  External attacker triggers a phishing attack,    No anti-phishing measures,    Corporate email system,    Steals user credentials.
51,General,  Insider alters payment records,    Lack of audit logs,    Payment system,    Leads to fraudulent transactions.
52,General,  Attacker gains access to unpatched IoT device,    No firmware updates,    Smart camera,    Takes control of surveillance systems.
53,General,  Employee misconfigures firewall,    No configuration management,    Network perimeter,    Exposes internal systems to attack.
54,General,  Attacker steals employee credentials via phishing,    No MFA,    Corporate email system,    Gains unauthorized access.
55,General,  Insider shares sensitive pricing data,    No data loss prevention,    Finance database,    Exposes competitive advantage.
56,General,  Attacker compromises domain controller,    No network segmentation,    Active Directory,    Gains full access to the network.
